make_model,body_type,price,vat,km,previous_owners,next_inspection,inspection_new,body_color,paint_type,nr_of_doors,nr_of_seats,gearing_type,cylinders,drive_chain,fuel,emission_class,comfort_convenience,entertainment_media,extras,safety_security,gears,displacement_cc,age_years,first_registered_month,hp_kw,condition,warranty_months,upholstery_type,upholstery_color,weight_kg,combined_l_per_100km,city_l_per_100km,country_l_per_100km,emissions_g_co2/km
Audi A1,Sedans,18700,VAT deductible,27000.0,1,2020-04,,Grey,metallic,5,4,Automatic,4,front,Diesel,Euro 6,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB",Alloy wheels,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control",7,1598.0,3,4.0,85.0,Employee's car,12,Cloth,Grey,1275.0,3.7,4.3,3.4,97.0
Audi A1,Sedans,18900,VAT deductible,9752.0,,,,Blue,,5,4,Automatic,4,front,Diesel,Euro 6,"Air conditioning,Leather steering wheel,Power windows","CD player,MP3,Radio","Alloy wheels,Sport package,Sport seats","Central door lock,Driver-side airbag,Electronic stability control,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control",5,1598.0,1,6.0,85.0,Used,,,,1175.0,3.5,4.3,3.1,92.0
Audi A1,Sedans,18500,VAT deductible,28408.0,1,,,White,,5,5,Automatic,3,front,Diesel,Euro 6,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio","Alloy wheels,Sport package","ABS,Alarm system,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Head airbag,Isofix,Passenger-side airbag,Power steering,Side airbag",7,1422.0,2,11.0,66.0,Used,,Cloth,Black,1220.0,3.8,4.3,3.5,99.0
Audi A1,Compact,18400,VAT deductible,50280.0,,2020-07,,Black,,5,5,Automatic,3,,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Power windows,Rain sensor","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio",Alloy wheels,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Tire pressure monitoring system,Xenon headlights",7,999.0,3,7.0,70.0,Used,6,Cloth,Grey,1065.0,4.5,5.5,3.9,103.0
Audi A1,Sedans,18500,VAT deductible,13406.0,,,,Black,metallic,5,5,Automatic,4,front,Diesel,Euro 6,"Air conditioning,Armrest,Auxiliary heating,Electrically heated windshield,Electrical side mirrors,Hill Holder,Leather steering wheel,Multi-function steering wheel,Navigation system,Power windows,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio","Alloy wheels,Catalytic Converter,Shift paddles,Voice Control","Alarm system,Central door lock,Daytime running lights,Driver-side airbag,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7,1598.0,1,5.0,85.0,Used,,Cloth,,,3.8,4.6,3.3,99.0
Audi A1,Sedans,18500,Price negotiable,51160.0,1,,,White,,5,5,Automatic,4,front,Diesel,Euro 6,"Air conditioning,Armrest,Leather steering wheel,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system,Tinted windows","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB","Alloy wheels,Shift paddles,Sport package,Voice Control","ABS,Adaptive headlights,Central door lock,Central door lock with remote control,Daytime running lights,Driver drowsiness detection,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,LED Daytime Running Lights,LED Headlights,Passenger-side airbag,Power steering,Rear airbag,Side airbag,Tire pressure monitoring system,Traction control",7,1598.0,2,6.0,85.0,Used,12,Cloth,Black,1275.0,4.0,4.6,3.6,105.0
Audi A1,Sedans,18500,VAT deductible,15850.0,1,,Yes,Black,metallic,5,5,Automatic,4,front,Benzine,,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Sport seats,Voice Control","ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7,1395.0,3,3.0,92.0,Used,12,Cloth,Black,1180.0,4.9,6.2,4.2,112.0
Audi A1,Sedans,18900,Price negotiable,17000.0,1,2019-12,,Grey,metallic,3,4,Automatic,4,,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Keyless central door lock,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB","Alloy wheels,Catalytic Converter,Sport seats,Voice Control,Winter tyres","ABS,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7,1395.0,3,12.0,92.0,Used,,,,1190.0,4.9,6.2,4.2,112.0
Audi A1,Sedans,18850,VAT deductible,9077.0,,,,Black,metallic,5,4,Automatic,4,front,Diesel,Euro 6,"Air conditioning,Automatic climate control,Power windows",Radio,Alloy wheels,"ABS,Central door lock,Driver-side airbag,Electronic stability control,Immobilizer,Passenger-side airbag,Power steering,Side airbag,Traction control",7,1598.0,1,5.0,85.0,Used,,Full leather,Black,1630.0,3.7,4.3,3.4,97.0
Audi A1,Sedans,18500,VAT deductible,3000.0,1,,,White,,5,4,Automatic,3,front,Benzine,Euro 6,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Power windows,Seat heating,Seat ventilation,Split rear seats,Start-stop system,Wind deflector","Bluetooth,CD player,Digital radio,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Voice Control","ABS,Alarm system,Central door lock,Central door lock with remote control,Driver-side airbag,Electronic stability control,Emergency system,Fog lights,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Rear airbag,Side airbag,Tire pressure monitoring system,Traction control",7,999.0,1,9.0,70.0,Used,,Cloth,White,1165.0,4.4,5.4,3.8,102.0
Audi A1,Sedans,8999,,115000.0,,,,White,,5,4,Manual,3,,Benzine,Euro 6,"Air conditioning,Electrical side mirrors,Leather steering wheel,Lumbar support,Power windows","Radio,Sound system","Alloy wheels,Winter tyres","ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",5,999.0,3,5.0,70.0,Used,,,,1135.0,4.2,5.0,3.7,97.0
Audi A1,Compact,11444,VAT deductible,84029.0,1,,Yes,Blue,metallic,2,4,Manual,,front,Benzine,Euro 6,"Air conditioning,Automatic climate control,Electrical side mirrors,Hill Holder,Keyless central door lock,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Voice Control","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",,999.0,3,3.0,70.0,Used,,Cloth,Black,,4.2,5.0,3.7,97.0
Audi A1,Sedans,11300,,67800.0,1,,,Black,,5,5,Manual,3,,Benzine,Euro 6,"Air conditioning,Electrical side mirrors,Leather steering wheel,Power windows,Start-stop system",Radio,Alloy wheels,"ABS,Central door lock,Central door lock with remote control,Daytime running lights,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",5,999.0,3,6.0,70.0,Used,,Cloth,Grey,1135.0,4.2,5.0,3.7,97.0
Audi A1,Sedans,18900,VAT deductible,14556.0,,,,White,uni/basic,5,,Automatic,3,front,Diesel,Euro 6,"Air conditioning,Automatic climate control",,Alloy wheels,"ABS,Driver-side airbag,Fog lights,Power steering,Traction control",7,1422.0,1,4.0,66.0,Used,,,,,4.3,3.8,3.5,99.0
Audi A1,Compact,11290,,22000.0,,,,Black,metallic,4,4,Manual,,,Benzine,Euro 6,"Air conditioning,Electrical side mirrors,Power windows,Rain sensor,Start-stop system",,Alloy wheels,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system",,999.0,3,3.0,70.0,Used,,,,,4.4,5.2,3.9,102.0
Audi A1,Compact,11290,,38400.0,,,,Black,,5,5,Manual,3,front,Diesel,,,,,,5,1422.0,3,6.0,66.0,Used,12,,,1195.0,3.0,3.0,3.0,
Audi A1,Sedans,11440,VAT deductible,83307.0,1,2019-05,,Black,,3,4,Manual,3,front,Diesel,Euro 6,"Air conditioning,Automatic climate control,Electrical side mirrors,Light sensor,Multi-function steering wheel,Navigation system,Power windows,Rain sensor,Start-stop system","Bluetooth,CD player,MP3,On-board computer,Radio,USB","Alloy wheels,Catalytic Converter","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",5,1422.0,3,5.0,66.0,Used,12,Cloth,Black,1195.0,3.6,4.0,3.3,95.0
Audi A1,Compact,11445,VAT deductible,39668.0,1,,Yes,Brown,metallic,3,4,Manual,3,front,Benzine,Euro 6,"Air conditioning,Armrest,Electrical side mirrors,Power windows,Start-stop system","CD player,MP3,Radio","Alloy wheels,Catalytic Converter","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",5,999.0,3,3.0,70.0,Used,,Cloth,Black,,4.4,5.2,3.9,104.0
Audi A1,Sedans,11700,VAT deductible,30353.0,1,,,Black,metallic,5,5,Manual,3,front,Diesel,Euro 6,"Air conditioning,Electrical side mirrors,Heads-up display,Leather steering wheel,Power windows,Start-stop system,Tinted windows","On-board computer,Radio",Catalytic Converter,"ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",5,1422.0,3,8.0,66.0,Used,12,Cloth,Grey,1195.0,3.7,3.9,3.1,97.0
Audi A1,Sedans,11900,,126000.0,,,,White,,5,4,Manual,3,,Diesel,Euro 6,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Parking assist system sensors rear,Rain sensor,Seat ventilation,Split rear seats,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB",Alloy wheels,"ABS,Alarm system,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Passenger-side airbag,Power steering,Rear airbag,Side airbag,Tire pressure monitoring system,Traction control",5,1422.0,3,6.0,66.0,Used,,,,1205.0,3.7,4.2,3.4,97.0
Audi A1,Compact,11949,VAT deductible,57500.0,1,,Yes,White,,3,4,Manual,3,front,Benzine,Euro 6,"Air conditioning,Electrical side mirrors,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio",Catalytic Converter,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",5,999.0,3,1.0,70.0,Used,,Cloth,Black,,4.4,5.2,3.9,104.0
Audi A1,Sedans,11890,,73945.0,1,,Yes,White,,3,5,Manual,,,Benzine,Euro 6,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Hill Holder,Power windows,Seat heating,Start-stop system","CD player,MP3,Radio",,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",5,999.0,3,4.0,70.0,Used,,Cloth,,1110.0,4.4,5.2,3.9,104.0
Audi A1,Sedans,11600,VAT deductible,96000.0,1,2019-07,,Red,metallic,5,5,Manual,3,,Diesel,Euro 6,"Air conditioning,Electrical side mirrors,Leather steering wheel,Power windows,Start-stop system,Tinted windows",Radio,Alloy wheels,"ABS,Central door lock,Central door lock with remote control,Daytime running lights,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",5,1422.0,2,7.0,66.0,Used,,,,1195.0,3.7,3.9,3.1,97.0
Audi A1,Sedans,11900,Price negotiable,43120.0,2,2019-10,,Red,metallic,3,4,Manual,3,,Benzine,Euro 6,"Leather steering wheel,Lumbar support,Power windows,Start-stop system",Radio,"Alloy wheels,Sport seats,Sport suspension","ABS,Central door lock with remote control,Daytime running lights,Driver-side airbag,Fog lights,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",5,999.0,3,10.0,60.0,Used,,,,1110.0,4.2,5.0,3.7,97.0
Audi A1,Compact,11630,VAT deductible,110715.0,1,,,Silver,metallic,5,5,Manual,,,Diesel,Euro 6,"Air conditioning,Automatic climate control,Cruise control,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio","Alloy wheels,Sport suspension","ABS,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Side airbag,Traction control",5,1422.0,3,1.0,66.0,Used,,Cloth,,,,,,
Audi A1,Compact,11880,VAT deductible,31971.0,1,,Yes,Black,,3,4,Manual,4,,Benzine,Euro 6,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Power windows,Start-stop system","CD player,MP3,Radio,Sound system,USB",Catalytic Converter,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",5,999.0,3,4.0,60.0,Used,12,Cloth,Black,1110.0,4.4,5.2,3.9,102.0
Audi A1,Compact,11800,VAT deductible,94800.0,1,,Yes,Grey,metallic,4,4,Manual,,,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio",Alloy wheels,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",,1422.0,3,2.0,66.0,Used,,Cloth,Black,,3.4,3.9,3.1,91.0
Audi A1,Compact,11850,VAT deductible,85000.0,1,,Yes,Grey,metallic,4,4,Manual,,,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio",Alloy wheels,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",,1422.0,3,2.0,66.0,Used,,Cloth,Black,,3.4,3.9,3.1,91.0
Audi A1,Compact,11569,VAT deductible,111265.0,1,,,Black,metallic,5,5,Manual,,,Diesel,Euro 6,"Air conditioning,Automatic climate control,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio",Alloy wheels,"ABS,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Side airbag,Traction control",5,1422.0,3,3.0,66.0,Used,,Cloth,,,,,,
